Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA
1/3/2014,-0.000164001,-0.003597655,-0.002741693,-0.021965849,-0.006727664,0.001348377,-0.007294849,-0.003844508,0.005082824,-0.007218953,0,-0.000909091,0.009008008,-0.004918864,0.001705238,-0.002405995,0.00169163,-0.011836776,-0.004291903,-0.001584955,-0.003294918,0.007730648,0.021618557,0.007123043,0.000771733,0.012658228,-0.000387747,-0.031856002,0.007107389,0.002320244,0.006951028
1/6/2014,-0.002897906,-0.017116863,0.048387096,0.00545302,-0.021132457,-0.007147327,0.01114937,-0.007088076,-0.008108815,-0.003693433,0.004208672,0.001364877,0.005225955,-0.004695971,0.000486393,0.001507406,-0.002653808,0.005576229,0.004597701,-0.0096471,-0.005594444,0.005796113,0.007677884,0.006848168,-0.009721864,0.0325,-0.0124128,-0.014306105,-0.011451398,-0.003125058,0.00574051
1/7/2014,0.00614167,0.016054429,0.01258736,-0.0071516,0.007749765,0.005529463,0.019278189,0.011177994,0.008350888,0.009267875,0.002534142,0.013630123,0.021228192,0.002979861,0.014584395,0.014148063,0.008466401,0.01252824,-0.000285984,0.004932207,0.003068636,-0.011525424,0.006876027,-0.006021085,-0.055816654,0.012106538,0.005106088,0.051282051,0.030576563,0.025775004,0.015172249
1/8/2014,0.000218051,0.012854834,0.005352245,0.006332858,-0.017852293,-0.010064256,0.002081078,0.009773168,0.001307663,0.002180842,-0.002722137,-0.000896369,-0.001378693,-0.011141372,-0.002875,-0.003265084,-0.014232022,-0.016227161,-0.020314706,0.005276074,-0.00790306,0.00943071,0.011627925,0.000841376,0.004388784,0,-0.006252442,0.098481408,-0.011632453,-0.004980125,0.002206334
1/9/2014,0.000653852,-0.024788472,-0.017344994,-0.012770073,-0.00643174,0.000524002,-0.009629972,-0.00226414,0.00026117,-0.00332151,0.005849074,-0.008972678,0.006053515,-0.005257862,-0.004685248,-0.009727973,0,-0.020618557,-0.020443953,-0.004393995,0.003340537,-0.001868541,0.00711549,-0.005828334,-0.011554527,-0.0215311,-0.004718875,-0.026393003,0.006083033,0.024343066,0.009302641
1/10/2014,0.002722718,-0.012268678,0.012582978,-0.006672637,0.014354124,0.003561743,-5.31216E-05,-0.008353921,0.005483489,0.00321772,0.011920954,0.005884971,0.00010551,0.010067984,0.007845528,0.007618234,-0.018492976,0.005263158,0.002385152,0.005394165,-0.000640223,-0.004594895,-0.008695652,0.005580637,-0.014567642,0.019559902,0.008692296,0.020223709,-0.018138867,-0.009328195,-0.001618314
1/13/2014,-0.013305078,-0.043782631,-0.035036228,0.005235158,-0.029411792,-0.010125271,-0.00637065,-0.016798252,-0.013677242,-0.014776643,0.004980327,-0.001350045,-0.002533228,-0.014951457,-0.013532898,-0.019598031,-0.014544269,-0.015078555,-0.009518144,-0.012681392,-0.007047706,-0.013506599,-0.018274853,-0.014070262,0.014060382,-0.009592326,-0.001175127,-0.016026951,-0.010173963,-0.004820087,-0.008456639
1/14/2014,0.010897661,0.157384876,0.032731211,0.01989808,0.022870183,0.004112612,0.02352675,0.016778346,0.012287116,0.01906755,-0.004574507,0.00991433,0.002328053,0.004047559,0,0.005783866,0.002683438,0.001063215,0.005405436,0.000494022,0.006065312,0.000693258,0.004281459,0.004093706,0.003414352,0.041162228,0.039607843,0.014573511,0.001081891,0.007997286,-0.004904065
1/15/2014,0.005390135,0.01773424,-0.002424731,0.020077184,0.027389576,0.002520458,-0.000678626,-0.00420087,0.007456225,0.008214501,-0.001053145,0.016510531,0.000844616,0.001763643,0.006312929,-0.003430226,-0.003261688,0.025276082,0.009259289,0.000740625,-0.003848063,0.030308277,0.019277127,0.012174371,-0.022428646,0.039534884,0.006035458,-0.014364174,0.011078074,0.004134574,0.004356832
1/16/2014,-0.001299718,0.041674257,-0.007118038,-0.00557983,0.00353648,0.006285345,0.00661656,-0.000176843,0.001204811,0.000113093,0.006708885,0,-0.001687806,-0.00125752,-0.000361901,0.001619791,-0.002936718,0.005386348,0.005031015,0.002343678,-0.011589003,-0.008404774,-0.043462519,-0.020027983,0.003934857,-0.020134228,-0.004874353,-0.008572696,-0.027792546,-0.01157357,-0.002915574
1/17/2014,-0.004229471,-0.005615055,-0.015562161,-0.024501616,-0.013824831,-0.011763461,-0.004921165,0.009626066,-0.003524119,-0.005657389,0.004188899,-0.00175597,0.004437859,-0.010828507,-0.007965291,0.00222359,0.003871068,-0.003709067,-0.007656007,-0.003199631,-0.007425742,-0.014917799,-0.006273726,0.006336707,-0.004944552,-0.0456621,-0.02599853,-0.032425423,-0.003298584,0.007205573,0.00178304
1/21/2014,0.002940503,0.039232976,0.039253979,0.01553624,-0.005772485,0.001580133,0.011446925,0.018618161,0.005951893,0.007624101,0.00075839,0.003957784,-0.010835252,0.016293254,0.008759137,-0.00665595,0.008969738,-0.013443579,-0.003857596,-0.006666679,-0.004593857,0.001032473,-0.00803524,-0.017472215,-0.004029793,-0.002392344,-0.010058027,0.033065328,0.008825249,0.007489358,0.008614488
