Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA,HD.1,BAC,SBUX,BABA
2/2/2015,201.92,210.94,74.99,118.63,41.28,92.51,527.03,364.47,116.76,101.98,137.48,26.83,100.83,41.59,95.33,89.58,106.06,46.98,33.56,104.43,85.71,55.47,47.72,175.49,63.01,2.67,33.65,28.44,107.29,107.88,146.26,104.43,15.46,43.99,90.13
2/3/2015,204.84,218.36,75.40,118.65,41.60,93.92,527.79,363.55,118.85,102.96,134.57,27.12,102.46,41.63,96.20,92.25,109.53,47.83,34.34,107.24,86.19,56.72,48.88,180.24,65.27,2.76,33.70,28.95,107.81,108.70,147.34,107.24,15.89,44.24,90.61
2/4/2015,204.06,218.55,75.63,119.56,41.84,94.05,521.33,364.75,118.41,102.87,134.80,26.69,101.36,41.68,96.60,91.46,108.35,47.80,34.41,108.41,86.65,56.38,48.40,178.78,64.10,2.85,33.60,29.03,107.92,110.10,147.22,108.41,15.79,44.35,90.00
2/5/2015,206.12,220.99,75.61,119.94,42.45,94.34,526.14,373.89,119.94,103.76,133.32,27.26,102.46,41.79,96.61,92.36,109.31,47.86,34.54,108.99,87.28,56.77,48.54,180.77,64.13,3.31,33.94,29.49,108.82,112.22,148.60,108.99,15.97,44.82,87.00
2/6/2015,205.55,217.36,74.47,118.93,42.41,93.99,529.55,374.28,119.81,103.13,130.96,27.24,101.10,41.45,96.71,91.50,109.61,49.33,34.87,109.04,87.33,57.89,49.14,183.43,63.48,3.03,33.30,28.91,107.60,111.70,148.00,109.04,16.49,44.50,85.68
2/9/2015,204.63,217.48,74.44,119.72,42.36,92.72,526.38,370.56,118.86,102.80,130.75,27.12,99.78,41.23,95.97,91.56,110.43,49.09,34.64,108.34,85.91,57.82,49.21,182.22,63.30,3.04,32.93,28.35,106.49,111.02,147.58,108.34,16.35,44.41,86.00
2/10/2015,206.81,216.29,75.19,122.02,42.60,94.02,535.47,373.00,119.62,104.40,129.71,27.49,100.35,42.40,97.99,91.01,110.18,49.51,34.85,110.67,87.29,58.46,49.39,184.56,64.85,3.04,33.70,31.09,108.97,113.70,148.04,110.67,16.42,45.59,87.26
2/11/2015,206.93,212.80,76.51,124.88,42.38,94.21,534.50,375.14,119.45,104.78,129.95,26.93,100.38,42.37,100.40,90.60,109.98,49.81,34.39,110.31,86.34,58.37,49.68,187.65,64.98,3.07,33.55,31.02,109.85,115.07,147.92,110.31,16.36,45.40,86.00
2/12/2015,208.92,202.88,76.23,126.46,43.09,95.09,541.44,377.17,120.81,106.00,129.52,29.46,98.44,42.17,100.27,92.37,110.86,49.52,34.61,112.16,85.89,59.57,50.89,189.78,65.25,3.12,34.13,31.94,109.84,114.98,148.09,112.16,16.67,45.92,87.10
2/13/2015,209.78,203.77,75.74,127.08,43.87,95.65,547.51,381.83,121.53,106.91,128.19,29.43,99.62,41.99,99.13,93.37,112.78,49.31,34.66,111.89,85.81,59.67,51.20,189.00,66.59,3.15,34.36,31.85,109.44,114.47,149.73,111.89,16.61,45.79,89.05
2/17/2015,210.11,204.35,75.60,127.83,43.58,94.35,541.35,375.43,121.91,107.01,126.26,29.31,100.44,41.81,98.36,93.05,112.40,49.18,34.71,112.00,85.96,60.10,51.69,190.02,67.14,3.11,34.74,32.33,109.76,115.48,149.92,112.00,16.63,46.01,86.85
2/18/2015,210.13,204.46,76.71,128.72,43.53,94.58,538.22,373.37,122.04,107.16,127.01,29.49,99.96,41.73,99.33,91.01,110.44,48.94,34.49,111.99,86.29,59.37,51.42,188.67,67.87,3.08,34.27,32.17,109.77,116.01,151.17,111.99,16.30,46.50,86.74
